Image Name,Extracted Text,Confidence,Points
1~Riyadh Municipality~Riyad Trial 25~9055~Video_1741935860-0000227_483.jpg,Eastern Ring Road,0.9454226292384812,"[[np.int32(35), np.int32(87)], [np.int32(166), np.int32(87)], [np.int32(166), np.int32(106)], [np.int32(35), np.int32(106)]]"
1~Riyadh Municipality~Riyad Trial 25~9055~Video_1741935860-0000228_471 - Copy.jpg,Eastern Ring Road,0.8533203236027234,"[[np.int32(37), np.int32(93)], [np.int32(181), np.int32(93)], [np.int32(181), np.int32(117)], [np.int32(37), np.int32(117)]]"
1~Riyadh Municipality~Riyad Trial 25~9055~Video_1741935860-0000228_471.jpg,Eastern Ring Road,0.8533203236027234,"[[np.int32(37), np.int32(93)], [np.int32(181), np.int32(93)], [np.int32(181), np.int32(117)], [np.int32(37), np.int32(117)]]"
1~Riyadh Municipality~Riyad Trial 25~9055~Video_1741935860-0000229_458 - Copy.jpg,Eastern Ring Road,0.8545425114046558,"[[np.int32(38), np.int32(102)], [np.int32(196), np.int32(102)], [np.int32(196), np.int32(126)], [np.int32(38), np.int32(126)]]"
1~Riyadh Municipality~Riyad Trial 25~9055~Video_1741935860-0000229_458.jpg,Eastern Ring Road,0.8545425114046558,"[[np.int32(38), np.int32(102)], [np.int32(196), np.int32(102)], [np.int32(196), np.int32(126)], [np.int32(38), np.int32(126)]]"
1~Riyadh Municipality~Riyad Trial 25~9055~Video_1741935860-0000231_415.jpg,Eastern Ring Road,0.62561149134117,"[[np.int32(49), np.int32(116)], [np.int32(245), np.int32(116)], [np.int32(245), np.int32(145)], [np.int32(49), np.int32(145)]]"
1~Riyadh Municipality~Riyad Trial 25~9055~Video_1741935860-0000232_384.jpg,Eastern Ring Road,0.995186544246544,"[[np.int32(57), np.int32(66)], [np.int32(280), np.int32(66)], [np.int32(280), np.int32(99)], [np.int32(57), np.int32(99)]]"
1~Riyadh Municipality~Riyad Trial 25~9055~Video_1741935860-0000233_345.jpg,Eastern Ring Road,0.9988087382518428,"[[np.int32(62), np.int32(2)], [np.int32(323), np.int32(2)], [np.int32(323), np.int32(42)], [np.int32(62), np.int32(42)]]"
1~Riyadh Municipality~Riyad Trial 25~9055~Video_1741935860-0000388_1104.jpg,SLoW,0.2246602177619934,"[[np.int32(15), np.int32(40)], [np.int32(58), np.int32(40)], [np.int32(58), np.int32(66)], [np.int32(15), np.int32(66)]]"
1~Riyadh Municipality~Riyad Trial 25~9055~Video_1741935860-0000581_609.jpg,2 JI,0.4087191306913584,"[[np.int32(13), np.int32(55)], [np.int32(58), np.int32(55)], [np.int32(58), np.int32(76)], [np.int32(13), np.int32(76)]]"
1~Riyadh Municipality~Riyad Trial 25~9055~Video_1741935860-0000581_609.jpg,Omar Idn Abdui aeiz,0.16564473794139237,"[[np.int32(23), np.int32(75)], [np.int32(130), np.int32(75)], [np.int32(130), np.int32(89)], [np.int32(23), np.int32(89)]]"
1~Riyadh Municipality~Riyad Trial 25~9055~Video_1741935860-0000581_609.jpg,Robd,0.11703234784794866,"[[np.int32(61), np.int32(89)], [np.int32(89), np.int32(89)], [np.int32(89), np.int32(102)], [np.int32(61), np.int32(102)]]"
1~Riyadh Municipality~Riyad Trial 25~9055~Video_1741935860-0000581_609.jpg,cily Center,0.19567242663205942,"[[np.int32(41), np.int32(120)], [np.int32(105), np.int32(120)], [np.int32(105), np.int32(134)], [np.int32(41), np.int32(134)]]"
1~Riyadh Municipality~Riyad Trial 25~9055~Video_1741935860-0000581_747.jpg,PrInce Motcod,0.26169413145606757,"[[np.int32(24), np.int32(107)], [np.int32(102), np.int32(107)], [np.int32(102), np.int32(121)], [np.int32(24), np.int32(121)]]"
1~Riyadh Municipality~Riyad Trial 25~9055~Video_1741935860-0000581_747.jpg,on AoduiAIiz,0.10428222265332181,"[[np.int32(24), np.int32(121)], [np.int32(103), np.int32(121)], [np.int32(103), np.int32(135)], [np.int32(24), np.int32(135)]]"
1~Riyadh Municipality~Riyad Trial 25~9055~Video_1741935860-0000581_747.jpg,Steri,0.013586404243661804,"[[np.int32(50), np.int32(140)], [np.int32(84), np.int32(140)], [np.int32(84), np.int32(149)], [np.int32(50), np.int32(149)]]"
1~Riyadh Municipality~Riyad Trial 25~9055~Video_1741935860-0000581_747.jpg,"{L""",0.3769602011565505,"[[np.float64(36.58578643762691), np.float64(44.58578643762691)], [np.float64(89.81812964578857), np.float64(39.166690579013576)], [np.float64(91.41421356237309), np.float64(57.41421356237309)], [np.float64(38.18187035421143), np.float64(62.833309420986424)]]"
1~Riyadh Municipality~Riyad Trial 25~9055~Video_1741935860-0000582_493.jpg,Princc Mottod,0.23387674262718486,"[[np.int32(19), np.int32(116)], [np.int32(98), np.int32(116)], [np.int32(98), np.int32(130)], [np.int32(19), np.int32(130)]]"
1~Riyadh Municipality~Riyad Trial 25~9055~Video_1741935860-0000582_493.jpg,Ibn Abdui Aziz,0.38529753347320705,"[[np.int32(16), np.int32(131)], [np.int32(101), np.int32(131)], [np.int32(101), np.int32(146)], [np.int32(16), np.int32(146)]]"
1~Riyadh Municipality~Riyad Trial 25~9055~Video_1741935860-0000582_493.jpg,Strtct,0.10337528032535198,"[[np.int32(37), np.int32(147)], [np.int32(75), np.int32(147)], [np.int32(75), np.int32(159)], [np.int32(37), np.int32(159)]]"
1~Riyadh Municipality~Riyad Trial 25~9055~Video_1741935860-0000582_611.jpg,LE 35,0.3183406119534541,"[[np.int32(57), np.int32(63)], [np.int32(109), np.int32(63)], [np.int32(109), np.int32(77)], [np.int32(57), np.int32(77)]]"
1~Riyadh Municipality~Riyad Trial 25~9055~Video_1741935860-0000582_611.jpg,Omar Ibn Abdui AElz,0.24952519302654252,"[[np.int32(16), np.int32(79)], [np.int32(133), np.int32(79)], [np.int32(133), np.int32(94)], [np.int32(16), np.int32(94)]]"
